Word,UniqueLetters,Score
BULGE,5,10413
BULGY,5,7720
BULKS,5,10459
BULKY,5,7600
BULLA,4,11276
BULLS,4,11787
BULLY,4,8928
BUMFS,5,9228
BUMPH,5,6806
BUMPS,5,9870
BUMPY,5,7011
BUNAS,5,12969
BUNCH,5,7586
BUNCO,5,9117
BUNDS,5,10835
BUNDT,5,8752
BUNGS,5,10272
BUNKO,5,8619
BUNKS,5,10152
BUNNS,4,11173
BUNNY,4,8314
BUNTS,5,11397
BUNYA,5,10110
BUOYS,5,11395
BUPPY,4,7046
BURAN,5,11517
BURAS,5,13824
BURBS,4,11089
BURDS,5,11690
BURET,5,12086
BURFI,5,9079
BURGH,5,8063
BURGS,5,11127
BURIN,5,10355
BURKA,5,10496
BURKE,5,10841
BURKS,5,11007
BURLS,5,12335
BURLY,5,9476
BURNS,5,12028
BURNT,5,9945
BURPS,5,11394
BURQA,5,9592
BURRO,4,11350
BURRS,4,12883
BURRY,4,10024
BURSA,5,13824
BURSE,5,14169
BURST,5,12252
BUSBY,4,9682
BUSED,5,12976
BUSES,4,15621
BUSHY,5,9864
BUSKS,4,12459
BUSTS,4,13704
BUSTY,5,10845
BUTCH,5,7810
BUTEO,5,12005
BUTES,5,13538
BUTLE,5,11538
BUTOH,5,9107
BUTTE,4,11455
BUTTS,4,11621
BUTTY,4,8762
BUTUT,3,9069
BUTYL,5,8845
BUXOM,5,7183
BUYER,5,11310
BUZZY,4,4794
BWANA,4,11407
BYLAW,5,9366
BYRES,5,13862
BYRLS,5,12028
BYSSI,4,13807
BYTES,5,13231
BYWAY,4,8507
CABAL,4,12487
CABBY,4,8893
CABER,5,13380
CABIN,5,11018
CABLE,5,12832
CABOB,4,10219
CACAO,3,13370
CACAS,3,14903
CACHE,4,12184
CACTI,4,11658
CADDY,4,10095
CADES,5,15433
CADET,5,13350
CADGE,5,12225
CADGY,5,9532
CADIS,5,13926
CADRE,5,13981
CAECA,3,14737
CAFES,5,14495
CAFFS,4,11078
CAGED,5,12225
CAGER,5,13418
CAGES,5,14870
CAGEY,5,12011
CAHOW,5,10044
CAIDS,5,13926
CAINS,5,14264
CAIRD,5,12474
CAIRN,5,12812
CAJON,5,10288
CAKED,5,12105
CAKES,5,14750
CAKEY,5,11891
CALFS,5,12661
CALIF,5,10988
CALIX,5,10476
CALKS,5,12916
CALLA,3,13733
CALLS,4,14244
CALMS,5,13268
CALOS,5,14711
CALVE,5,12255
CALYX,5,9290
CAMAS,4,14757
CAMEL,5,13102
CAMEO,5,13569
CAMES,5,15102
CAMIS,5,13595
CAMOS,5,13735
CAMPI,5,10654
CAMPO,5,10794
CAMPS,5,12327
CAMPY,5,9468
CANAL,4,13426
CANDY,5,10433
CANED,5,13126
CANER,5,14319
CANES,5,15771
CANID,5,11619
CANNA,3,13119
CANNY,4,10771
CANOE,5,14238
CANON,4,12097
CANSO,5,14404
CANST,5,13854
CANTO,5,12321
CANTS,5,13854
CANTY,5,10995
CAPED,5,12492
CAPER,5,13685
CAPES,5,15137
CAPHS,5,12239
CAPIZ,5,9563
CAPON,5,11463
CAPOS,5,13770
CAPOT,5,11687
CAPRI,5,12178
CAPUT,5,10668
CARAT,4,14198
CARBO,5,12013
CARBS,5,13546
CARDS,5,14147
CARED,5,13981
CARER,4,15174
CARES,5,16626
CARET,5,14543
CAREX,5,12531
CARGO,5,12051
CARKS,5,13464
CARLE,5,14626
CARLS,5,14792
CARNS,5,14485
CARNY,5,11626
CAROB,5,12013
CAROL,5,13259
CAROM,5,12283
CARPI,5,12178
CARPS,5,13851
CARRS,4,15340
CARRY,4,12481
CARSE,5,16626
CARTE,5,14543
CARTS,5,14709
CARVE,5,12803
CASAS,3,17733
CASED,5,15433
CASES,4,18078
CASKS,4,14916
CASKY,5,12057
CASTE,5,15995
CASTS,4,16161
CASUS,4,15692
CATCH,4,10267
CATER,5,14543
CATES,5,15995
CATTY,4,11219
CAULD,5,11047
CAULK,5,10364
CAULS,5,13692
CAURI,5,12567
CAUSE,5,15526
CAVAS,4,13910
CAVED,5,11610
CAVER,5,12803
CAVES,5,14255
CAVIE,5,12582
CAVIL,5,10748
CAWED,5,11830
CEASE,4,17912
CEBID,5,11025
CECAL,4,13248
CECUM,4,10231
CEDAR,5,13981
CEDED,3,13133
CEDER,4,14326
CEDES,4,15778
CEDIS,5,14271
CEIBA,5,13159
CEILI,4,13243
CEILS,5,14916
CELEB,4,13177
CELLA,4,14078
CELLI,4,12916
CELLO,4,13056
CELLS,4,14589
CELOM,5,12080
CELTS,5,14506
CENSE,4,16116
CENTO,5,12666
CENTS,5,14199
CENTU,5,11647
CEORL,5,13604
CEPES,4,15482
CERCI,4,12634
CERED,4,14326
CERES,4,16971
CERIA,5,14953
CERIC,4,12634
CEROS,5,15604
CERTS,5,15054
